iteration,group1,group2,status
0,"['AAPL', 'ADBE', 'AMZN', 'BAC', 'CSCO', 'JPM', 'KO', 'MRK', 'MSFT', 'NVDA', 'PFE', 'UNH', 'VZ', 'WMT']","['ABT', 'BRK-B', 'DIS', 'GOOGL', 'HD', 'INTC', 'JNJ', 'MA', 'NFLX', 'PEP', 'PG', 'T', 'V', 'XOM']",completed
1,"['AAPL', 'AMZN', 'GOOGL', 'INTC', 'JNJ', 'MA', 'NFLX', 'NVDA', 'PEP', 'PFE', 'PG', 'T', 'VZ', 'WMT']","['ABT', 'ADBE', 'BAC', 'BRK-B', 'CSCO', 'DIS', 'HD', 'JPM', 'KO', 'MRK', 'MSFT', 'UNH', 'V', 'XOM']",completed
2,"['AAPL', 'ABT', 'BRK-B', 'GOOGL', 'JNJ', 'JPM', 'KO', 'MA', 'NVDA', 'PG', 'T', 'VZ', 'WMT', 'XOM']","['ADBE', 'AMZN', 'BAC', 'CSCO', 'DIS', 'HD', 'INTC', 'MRK', 'MSFT', 'NFLX', 'PEP', 'PFE', 'UNH', 'V']",completed
3,"['ABT', 'AMZN', 'BAC', 'DIS', 'HD', 'JPM', 'KO', 'MRK', 'MSFT', 'NFLX', 'PEP', 'PFE', 'UNH', 'V']","['AAPL', 'ADBE', 'BRK-B', 'CSCO', 'GOOGL', 'INTC', 'JNJ', 'MA', 'NVDA', 'PG', 'T', 'VZ', 'WMT', 'XOM']",completed
4,"['AAPL', 'ABT', 'AMZN', 'BAC', 'CSCO', 'DIS', 'KO', 'MA', 'MSFT', 'PEP', 'PG', 'T', 'UNH', 'V']","['ADBE', 'BRK-B', 'GOOGL', 'HD', 'INTC', 'JNJ', 'JPM', 'MRK', 'NFLX', 'NVDA', 'PFE', 'VZ', 'WMT', 'XOM']",completed
5,"['AAPL', 'ADBE', 'AMZN', 'BAC', 'BRK-B', 'GOOGL', 'JNJ', 'MA', 'MRK', 'NVDA', 'PEP', 'PFE', 'VZ', 'WMT']","['ABT', 'CSCO', 'DIS', 'HD', 'INTC', 'JPM', 'KO', 'MSFT', 'NFLX', 'PG', 'T', 'UNH', 'V', 'XOM']",completed
6,"['AAPL', 'ABT', 'ADBE', 'AMZN', 'BAC', 'HD', 'KO', 'MA', 'NFLX', 'NVDA', 'V', 'VZ', 'WMT', 'XOM']","['BRK-B', 'CSCO', 'DIS', 'GOOGL', 'INTC', 'JNJ', 'JPM', 'MRK', 'MSFT', 'PEP', 'PFE', 'PG', 'T', 'UNH']",completed
7,"['ABT', 'ADBE', 'AMZN', 'BAC', 'BRK-B', 'HD', 'INTC', 'JNJ', 'PEP', 'PFE', 'PG', 'UNH', 'V', 'VZ']","['AAPL', 'CSCO', 'DIS', 'GOOGL', 'JPM', 'KO', 'MA', 'MRK', 'MSFT', 'NFLX', 'NVDA', 'T', 'WMT', 'XOM']",completed
8,"['AMZN', 'BAC', 'BRK-B', 'CSCO', 'HD', 'JPM', 'KO', 'MA', 'PEP', 'PFE', 'PG', 'T', 'UNH', 'V']","['AAPL', 'ABT', 'ADBE', 'DIS', 'GOOGL', 'INTC', 'JNJ', 'MRK', 'MSFT', 'NFLX', 'NVDA', 'VZ', 'WMT', 'XOM']",completed
9,"['AMZN', 'BAC', 'BRK-B', 'CSCO', 'JNJ', 'JPM', 'KO', 'MA', 'MSFT', 'NVDA', 'PEP', 'UNH', 'V', 'VZ']","['AAPL', 'ABT', 'ADBE', 'DIS', 'GOOGL', 'HD', 'INTC', 'MRK', 'NFLX', 'PFE', 'PG', 'T', 'WMT', 'XOM']",completed
